Date : 2026-09-14 04:22:52
Directory : c:\Users\zsolt\source\Salztal_Service_Wochenplan\src
Total : 179 files,  10036 codes, 11 comments, 1599 blanks, all 11646 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Shared\IUnexpectedErrorReporter.cs                                                                   | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Shared\TraceUnexpectedErrorReporter.cs                                                               | C#       |         14 |          0 |          4 |         18 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\packages.lock.json                                                                                   | JSON     |        262 |          0 |          0 |        262 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\AssemblyMarker.cs                                                                                     | C#       |          4 |          0 |          2 |          6 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\Employee.cs                                                                                 | C#       |        103 |          0 |         21 |        124 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeFirstName.cs                                                                        | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeId.cs                                                                               | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeLastName.cs                                                                         | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeType.cs                                                                             | C#       |        132 |          0 |         24 |        156 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeCode.cs                                                                         | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeId.cs                                                                           | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeName.cs                                                                         | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypePlanningPolicy.cs                                                               | C#       |         29 |          0 |          8 |         37 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibility.cs                                                             | C#       |        100 |          0 |         21 |        121 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibilityValidationCode.cs                                               | C#       |          9 |          0 |          2 |         11 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibilityValidationError.cs                                              | C#       |          3 |          0 |          2 |          5 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibilityValidationResult.cs                                             | C#       |         29 |          0 |          8 |         37 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeValidationCode.cs                                                               | C#       |         12 |          0 |          2 |         14 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeValidationError.cs                                                              | C#       |          2 |          0 |          2 |          4 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeValidationResult.cs                                                             | C#       |         28 |          0 |          8 |         36 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeValidationCode.cs                                                                   | C#       |          8 |          0 |          2 |         10 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeValidationError.cs                                                                  | C#       |          2 |          0 |          2 |          4 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeValidationResult.cs                                                                 | C#       |         28 |          0 |          8 |         36 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\InitialEmployeeTypeCatalog.cs                                                               | C#       |        168 |          0 |         20 |        188 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ManualSuggestionPriority.cs                                                                 | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ShiftEligibilityActivation.cs                                                               | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ShiftEligibilityMode.cs                                                                     | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ShiftEligibilityTargetKind.cs                                                               | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\WeeklyWorkTarget.cs                                                                         | C#       |         32 |          0 |          9 |         41 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\WeeklyWorkTargetValidationCode.cs                                                           | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Salztal.Dienstplanung.Domain.csproj                                                                   | XML      |          1 |          0 |          1 |          2 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\IShiftPattern.cs                                                                        | C#       |          6 |          0 |          3 |          9 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\InitialShiftPatternCatalog.cs                                                           | C#       |         34 |          0 |         10 |         44 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPattern.cs                                                                   | C#       |        103 |          0 |         25 |        128 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPatternValidationCode.cs                                                     | C#       |         12 |          0 |          2 |         14 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPatternValidationError.cs                                                    | C#       |          2 |          0 |          2 |          4 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPatternValidationResult.cs                                                   | C#       |         28 |          0 |          8 |         36 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftSwitchRule.cs                                                                | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ShiftPatternId.cs                                                                       | C#       |         26 |          0 |          7 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\SplitShiftPattern.cs                                                                    | C#       |        117 |          0 |         24 |        141 |
